creator_id,name,platform,niche,followers,avg_views,avg_likes,avg_comments,audience_age_18_24,audience_age_25_34,geography,estimated_price_inr,content_summary,previous_brand_categories
C140,Creator 140,YouTube,fashion,770422,258337,22367,2105,0.57,0.19,India,77042,"Showcases daily outfit inspiration, seasonal wardrobe hauls, and sustainable fashion tips.","[""edtech"", ""productivity tools""]"
C141,Creator 141,YouTube,finance,1074702,658281,51647,11787,0.17,0.34,India,214940,"Creates detailed tutorials on personal investment, mutual funds, taxation tips, and wealth management strategies.","[""edtech"", ""productivity tools""]"
C142,Creator 142,YouTube,education,350257,90544,6202,1199,0.65,0.26,Mumbai,35025,"Explains complex academic topics, exam preparation strategies, and career development advice.","[""unregulated loans"", ""binary options""]"
C143,Creator 143,YouTube,fitness,607537,365393,27355,2269,0.28,0.65,Hyderabad,60753,"Shares workout routines, nutrition advice, meal prep ideas, and athletic conditioning tips.","[""edtech"", ""productivity tools""]"
C144,Creator 144,YouTube,gaming,1623629,518040,24208,5954,0.68,0.25,Bangalore,162362,"Streams live gameplay, esports commentary, and gaming setup hardware reviews.","[""edtech"", ""productivity tools""]"
C145,Creator 145,Instagram,beauty,1017871,686523,40379,2640,0.62,0.3,Pune,101787,"Features skincare product reviews, makeup tutorials, and cosmetic brand unboxing.","[""edtech"", ""productivity tools""]"
C146,Creator 146,YouTube,beauty,319012,206920,5466,3805,0.6,0.33,Hyderabad,31901,"Features skincare product reviews, makeup tutorials, and cosmetic brand unboxing.","[""e-commerce"", ""lifestyle accessories""]"
C147,Creator 147,YouTube,fintech,794254,231498,20746,2025,0.17,0.66,Hyderabad,158850,"Produces short-form videos explaining digital payment apps, personal budgeting tools, and stock trading platforms.","[""sportswear"", ""health supplements""]"
C148,Creator 148,Instagram,technology,611629,428408,22736,7265,0.57,0.26,India,91744,"Reviews consumer electronics, smartphones, software tools, and emerging AI technologies.","[""banking apps"", ""mutual funds""]"
C149,Creator 149,YouTube,fintech,1761044,422142,36226,5470,0.38,0.48,Mumbai,352208,"Produces short-form videos explaining digital payment apps, personal budgeting tools, and stock trading platforms.","[""banking apps"", ""mutual funds""]"
C150,Creator 150,Instagram,fintech,1349978,845544,43966,3378,0.65,0.24,Bangalore,269995,"Produces short-form videos explaining digital payment apps, personal budgeting tools, and stock trading platforms.","[""gambling"", ""fantasy sports""]"
